JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Montant	Sens	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
ACH	ACHATS	ACH-17	20120417	445660	TVA DEDUCTIBLE			120430	20120417	DELTA TECHNOLOGIES	11,76	D			20130715		
ACH	ACHATS	ACH-17	20120417	615000	REPARATIONS MATERIEL			120430	20120417	REPARATIONS MATERI	60	D			20130715		
ACH	ACHATS	ACH-18	20120418	401000	COLLECTIF FOURNISSEURS	X401IPL	401IPL       I P L	120409	20120418	I P L	202,12	C			20130715		
ACH	ACHATS	ACH-18	20120418	445660	TVA DEDUCTIBLE			120409	20120418	I P L	33,12	D			20130715		
ACH	ACHATS	ACH-18	20120418	606400	ACH.FOURN.ADMINISTRATIVES			120409	20120418	I P L	169	D			20130715		
ACH	ACHATS	ACH-19	20120418	401000	COLLECTIF FOURNISSEURS	X401CARREFO	401CARREFO   CARREFOUR MARKET	120410	20120418	CARREFOUR MARKET	43,9	C			20130715		
ACH	ACHATS	ACH-19	20120418	445660	TVA DEDUCTIBLE			120410	20120418	CARREFOUR MARKET	7,19	D			20130715		
ACH	ACHATS	ACH-19	20120418	615000	REPARATIONS MATERIEL			120410	20120418	CARREFOUR MARKET	36,71	D			20130715		
ACH	ACHATS	ACH-20	20120418	401000	COLLECTIF FOURNISSEURS	X401BRICOMARCH	401BRICOMARCHBRICOMARCHE	120414	20120418	BRICOMARCHE	53,38	C			20130715		
ACH	ACHATS	ACH-20	20120418	445660	TVA DEDUCTIBLE			120414	20120418	BRICOMARCHE	8,75	D			20130715		
ACH	ACHATS	ACH-20	20120418	615000	REPARATIONS MATERIEL			120414	20120418	BRICOMARCHE	44,63	D			20130715		
ACH	ACHATS	ACH-21	20120418	401000	COLLECTIF FOURNISSEURS	X401CPO	401CPO       CPO	120421	20120418	CPO FIOUL	1180,99	C			20130715		
ACH	ACHATS	ACH-21	20120418	445660	TVA DEDUCTIBLE			120421	20120418	CPO FIOUL	193,54	D			20130715		
ACH	ACHATS	ACH-21	20120418	602210	ACH.COMBUSTIBLES			120421	20120418	CPO FIOUL	987,45	D			20130715		
ACH	ACHATS	ACH-22	20120418	401000	COLLECTIF FOURNISSEURS	X401CPO	401CPO       CPO	120422	20120418	CPO GAZOLE	706,72	C			20130715		
ACH	ACHATS	ACH-22	20120418	445660	TVA DEDUCTIBLE			120422	20120418	CPO GAZOLE	115,82	D			20130715		
ACH	ACHATS	ACH-22	20120418	606120	CARBURANT			120422	20120418	CPO GAZOLE	590,9	D			20130715		
ACH	ACHATS	ACH-23	20120419	401000	COLLECTIF FOURNISSEURS	X401ONF	401ONF       ONF BG	120404	20120419	ONF BG	1220,5	C			20130715		
ACH	ACHATS	ACH-23	20120419	445660	TVA DEDUCTIBLE			120404	20120419	ONF BG	79,85	D			20130715		
ACH	ACHATS	ACH-23	20120419	601000	ACH.MATIERES PREMIERES			120404	20120419	ONF BG	1140,65	D			20130715		
ACH	ACHATS	ACH-24	20120419	401000	COLLECTIF FOURNISSEURS	X401DROUIN	401DROUIN    DROUIN BG	120436	20120419	DROUIN BG	1114,49	C			20130715		
ACH	ACHATS	ACH-24	20120419	445660	TVA DEDUCTIBLE			120436	20120419	DROUIN BG	73,25	D			20130715		
ACH	ACHATS	ACH-24	20120419	601000	ACH.MATIERES PREMIERES			120436	20120419	DROUIN BG	1046,47	D			20130715		
ACH	ACHATS	ACH-24	20120419	637700	TAXES			120436	20120419	DROUIN BG	5,23	C			20130715		
ACH	ACHATS	ACH-25	20120423	401000	COLLECTIF FOURNISSEURS	X401IGOL	401IGOL      IGOL	120433	20120423	IGOL	759,11	C			20130715		
ACH	ACHATS	ACH-25	20120423	445660	TVA DEDUCTIBLE			120433	20120423	IGOL	124,4	D			20130715		
ACH	ACHATS	ACH-25	20120423	602100	ACH.MAT.CONSOMMABLES			120433	20120423	IGOL	634,71	D			20130715		
ACH	ACHATS	ACH-26	20120424	401000	COLLECTIF FOURNISSEURS	X401CARREFO	401CARREFO   CARREFOUR MARKET	120415	20120424	CARREFOUR MARKET	25,07	C			20130715		
ACH	ACHATS	ACH-26	20120424	445660	TVA DEDUCTIBLE			120415	20120424	CARREFOUR MARKET	4,11	D			20130715		
ACH	ACHATS	ACH-26	20120424	606400	ACH.FOURN.ADMINISTRATIVES			120415	20120424	CARREFOUR MARKET	20,96	D			20130715		
ACH	ACHATS	ACH-27	20120426	401000	COLLECTIF FOURNISSEURS	X401ROBIN	401ROBIN     TRANSPORTS ROBINEAU	120402	20120426	TRANSPORTS ROBINEA	86,59	C			20130715		
ACH	ACHATS	ACH-27	20120426	445660	TVA DEDUCTIBLE			120402	20120426	TRANSPORTS ROBINEA	14,19	D			20130715		
ACH	ACHATS	ACH-27	20120426	615000	REPARATIONS MATERIEL			120402	20120426	TRANSPORTS ROBINEA	72,4	D			20130715		
ACH	ACHATS	ACH-28	20120426	401000	COLLECTIF FOURNISSEURS	X401GALPI	401GALPI     Ets GALPIN	120429	20120426	Ets GALPIN	237,71	C			20130715		
ACH	ACHATS	ACH-28	20120426	445660	TVA DEDUCTIBLE			120429	20120426	Ets GALPIN	38,96	D			20130715		
ACH	ACHATS	ACH-28	20120426	615000	REPARATIONS MATERIEL			120429	20120426	Ets GALPIN	198,75	D			20130715		
ACH	ACHATS	ACH-29	20120427	401000	COLLECTIF FOURNISSEURS	X401ROBIN	401ROBIN     TRANSPORTS ROBINEAU	120401	20120427	TRANSPORTS ROBINEA	31,1	C			20130715		
ACH	ACHATS	ACH-29	20120427	445660	TVA DEDUCTIBLE			120401	20120427	TRANSPORTS ROBINEA	5,1	D			20130715		
ACH	ACHATS	ACH-29	20120427	615000	REPARATIONS MATERIEL			120401	20120427	TRANSPORTS ROBINEA	26	D			20130715		
ACH	ACHATS	ACH-30	20120427	401000	COLLECTIF FOURNISSEURS	X401DELTA	401DELTA     DELTA TECHNOLOGIES	120431	20120427	DELTA TECHNOLOGIES	166,09	C			20130715		
ACH	ACHATS	ACH-30	20120427	445660	TVA DEDUCTIBLE			120431	20120427	DELTA TECHNOLOGIES	27,22	D			20130715		
ACH	ACHATS	ACH-30	20120427	606400	ACH.FOURN.ADMINISTRATIVES			120431	20120427	DELTA TECHNOLOGIES	138,87	D			20130715		
ACH	ACHATS	ACH-31	20120429	401000	COLLECTIF FOURNISSEURS	X401STB	401STB       S T B	120434	20120429	S T B	1721,4	C			20130715		
ACH	ACHATS	ACH-31	20120429	445660	TVA DEDUCTIBLE			120434	20120429	S T B	282,1	D			20130715		
ACH	ACHATS	ACH-31	20120429	615000	REPARATIONS MATERIEL			120434	20120429	S T B	1439,3	D			20130715		
ACH	ACHATS	ACH-32	20120430	401000	COLLECTIF FOURNISSEURS	X401TELECOM	401TELECOM   TELECOM	120403	20120430	TELECOM ORANGE	39	C			20130715		
ACH	ACHATS	ACH-32	20120430	445660	TVA DEDUCTIBLE			120403	20120430	TELECOM ORANGE	6,39	D			20130715		
ACH	ACHATS	ACH-32	20120430	626200	TELEPHONE			120403	20120430	TELECOM ORANGE	32,61	D			20130715		
ACH	ACHATS	ACH-33	20120430	401000	COLLECTIF FOURNISSEURS	X401QUINC	401QUINC     QUINCAILLERIE SARTHOISE	120417	20120430	QUINCAILLERIE SART	74,86	C			20130715		
ACH	ACHATS	ACH-33	20120430	445660	TVA DEDUCTIBLE			120417	20120430	QUINCAILLERIE SART	12,27	D			20130715		
ACH	ACHATS	ACH-33	20120430	615000	REPARATIONS MATERIEL			120417	20120430	QUINCAILLERIE SART	62,59	D			20130715		
ACH	ACHATS	ACH-34	20120430	401000	COLLECTIF FOURNISSEURS	X401PEAN	401PEAN      ETS PEAN	120418	20120430	ETS PEAN	111,62	C			20130715		
ACH	ACHATS	ACH-34	20120430	445660	TVA DEDUCTIBLE			120418	20120430	ETS PEAN	18,29	D			20130715		
ACH	ACHATS	ACH-34	20120430	615000	REPARATIONS MATERIEL			120418	20120430	ETS PEAN	93,33	D			20130715		
ACH	ACHATS	ACH-35	20120430	401000	COLLECTIF FOURNISSEURS	X401BRULON	401BRULON    BRULON J.P	120423	20120430	BRULON J.P	2720,9	C			20130715		
ACH	ACHATS	ACH-35	20120430	445660	TVA DEDUCTIBLE			120423	20120430	BRULON J.P	445,9	D			20130715		
ACH	ACHATS	ACH-35	20120430	610100	DEBARDAGE 20%			120423	20120430	BRULON J.P	2275	D			20130715		
ACH	ACHATS	ACH-36	20120430	401000	COLLECTIF FOURNISSEURS	X401SOPROMO	401SOPROMO   SOPROMO	120424	20120430	SOPROMO	2218,58	C			20130715		
ACH	ACHATS	ACH-36	20120430	445660	TVA DEDUCTIBLE			120424	20120430	SOPROMO	363,58	D			20130715		
ACH	ACHATS	ACH-36	20120430	615500	ENTRETIEN CHANTIER			120424	20120430	SOPROMO	1855	D			20130715		
ACH	ACHATS	ACH-37	20120430	401000	COLLECTIF FOURNISSEURS	X401BRULONJ	401BRULONJ   BRULON Joseph	120425	20120430	BRULON Joseph	10924,2	C			20130715		
ACH	ACHATS	ACH-37	20120430	445660	TVA DEDUCTIBLE			120425	20120430	BRULON Joseph	1790,25	D			20130715		
ACH	ACHATS	ACH-37	20120430	624100	TRANSPORTS/ACHATS			120425	20120430	BRULON Joseph	9133,95	D			20130715		
ACH	ACHATS	ACH-38	20120430	401000	COLLECTIF FOURNISSEURS	X401VOISI	401VOISI     VOISIN BUCHERON	120427	20120430	VOISIN BUCHERON	496,86	C			20130715		
ACH	ACHATS	ACH-38	20120430	445660	TVA DEDUCTIBLE			120427	20120430	VOISIN BUCHERON	32,5	D			20130715		
ACH	ACHATS	ACH-38	20120430	610000	ABATTAGE - (5.50%)			120427	20120430	VOISIN BUCHERON	464,36	D			20130715		
ACH	ACHATS	ACH-39	20120430	401000	COLLECTIF FOURNISSEURS	X401CORBI	401CORBI     CORBIN b–cheron	120428	20120430	CORBIN b?heron	628,19	C			20130715		
ACH	ACHATS	ACH-39	20120430	445660	TVA DEDUCTIBLE			120428	20120430	CORBIN b?heron	41,1	D			20130715		
ACH	ACHATS	ACH-39	20120430	610000	ABATTAGE - (5.50%)			120428	20120430	CORBIN b?heron	587,09	D			20130715		
ACH	ACHATS	ACH-40	20120430	401000	COLLECTIF FOURNISSEURS	X401FITECO	401FITECO    FITECO	120432	20120430	FITECO	282,02	C			20130715		
ACH	ACHATS	ACH-40	20120430	445660	TVA DEDUCTIBLE			120432	20120430	FITECO	46,22	D			20130715		
ACH	ACHATS	ACH-40	20120430	622600	HONORAIRES COMPTABLES			120432	20120430	FITECO	235,8	D			20130715		
ACH	ACHATS	ACH-41	20120430	401000	COLLECTIF FOURNISSEURS	X401STB	401STB       S T B	120435	20120430	S T B	1045,79	C			20130715		
ACH	ACHATS	ACH-41	20120430	445660	TVA DEDUCTIBLE			120435	20120430	S T B	171,38	D			20130715		
ACH	ACHATS	ACH-41	20120430	615000	REPARATIONS MATERIEL			120435	20120430	S T B	874,41	D			20130715		
ACH	ACHATS	ACH-42	20120430	401000	COLLECTIF FOURNISSEURS	X401SCICHAMP	401SCICHAMP  SCI DU CHAMP LONG	120438	20120430	SCI DU CHAMP LONG	1094,34	C			20130715		
ACH	ACHATS	ACH-42	20120430	445660	TVA DEDUCTIBLE			120438	20120430	SCI DU CHAMP LONG	179,34	D			20130715		
ACH	ACHATS	ACH-42	20120430	613200	LOCATIONS IMMOBILIERES			120438	20120430	SCI DU CHAMP LONG	915	D			20130715		
ACH	ACHATS	ACH-43	20120501	401000	COLLECTIF FOURNISSEURS	X401FERNANDES	401FERNANDES FERNANDES BG	120501	20120501	FERNANDES BG	300	C			20130715		
ACH	ACHATS	ACH-43	20120501	601200	ACHATS SANS TAXES			120501	20120501	FERNANDES BG	300	D			20130715		
ACH	ACHATS	ACH-44	20120501	401000	COLLECTIF FOURNISSEURS	X401STENGEL	401STENGEL   STENGEL BG	120502	20120501	STENGEL BG	892,24	C			20130715		
ACH	ACHATS	ACH-44	20120501	601200	ACHATS SANS TAXES			120502	20120501	STENGEL BG	892,24	D			20130715		
ACH	ACHATS	ACH-45	20120501	401000	COLLECTIF FOURNISSEURS	X401BLIN	401BLIN      BLIN BG	120503	20120501	BLIN BG	800	C			20130715		
ACH	ACHATS	ACH-45	20120501	601200	ACHATS SANS TAXES			120503	20120501	BLIN BG	800	D			20130715		
ACH	ACHATS	ACH-46	20120501	401000	COLLECTIF FOURNISSEURS	X401QUALISUD	401QUALISUD  QUALISUD	120537	20120501	QUALISUD	394,68	C			20130715		
ACH	ACHATS	ACH-46	20120501	445660	TVA DEDUCTIBLE			120537	20120501	QUALISUD	64,68	D			20130715		
ACH	ACHATS	ACH-46	20120501	622620	AUTRES HONORAIRES			120537	20120501	QUALISUD	330	D			20130715		
ACH	ACHATS	ACH-47	20120504	401000	COLLECTIF FOURNISSEURS	X401TELECOM	401TELECOM   TELECOM	120506	20120504	TELECOM INTERNET	47,84	C			20130715		
ACH	ACHATS	ACH-47	20120504	445660	TVA DEDUCTIBLE			120506	20120504	TELECOM INTERNET	7,84	D			20130715		
ACH	ACHATS	ACH-47	20120504	626200	TELEPHONE			120506	20120504	TELECOM INTERNET	40	D			20130715		
ACH	ACHATS	ACH-48	20120504	401000	COLLECTIF FOURNISSEURS	X401CEMEX	401CEMEX     CEMEX	120518	20120504	CEMEX	293,26	C			20130715		
ACH	ACHATS	ACH-48	20120504	445660	TVA DEDUCTIBLE			120518	20120504	CEMEX	48,06	D			20130715		
ACH	ACHATS	ACH-48	20120504	615500	ENTRETIEN CHANTIER			120518	20120504	CEMEX	245,2	D			20130715		
ACH	ACHATS	ACH-49	20120504	401000	COLLECTIF FOURNISSEURS	X401CEMEX	401CEMEX     CEMEX	120519	20120504	CEMEX	291,47	C			20130715		
ACH	ACHATS	ACH-49	20120504	445660	TVA DEDUCTIBLE			120519	20120504	CEMEX	47,77	D			20130715		
ACH	ACHATS	ACH-49	20120504	615500	ENTRETIEN CHANTIER			120519	20120504	CEMEX	243,7	D			20130715		
ACH	ACHATS	ACH-50	20120506	401000	COLLECTIF FOURNISSEURS	X401EDF	401EDF       EDF	120507	20120506	EDF	3459,24	C			20130715		
ACH	ACHATS	ACH-50	20120506	445660	TVA DEDUCTIBLE			120507	20120506	EDF	566,9	D			20130715		
ACH	ACHATS	ACH-50	20120506	606100	E.D.F.			120507	20120506	EDF	2892,34	D			20130715		
ACH	ACHATS	ACH-51	20120507	401000	COLLECTIF FOURNISSEURS	X401BRICOMAN	401BRICOMAN  BRICOMAN	120504	20120507	BRICOMAN ESP	32,44	C			20130715		
ACH	ACHATS	ACH-51	20120507	445660	TVA DEDUCTIBLE			120504	20120507	BRICOMAN	5,31	D			20130715		
ACH	ACHATS	ACH-51	20120507	615000	REPARATIONS MATERIEL			120504	20120507	BRICOMAN	27,13	D			20130715		
ACH	ACHATS	ACH-52	20120509	401000	COLLECTIF FOURNISSEURS	X401CEMEX	401CEMEX     CEMEX	120514	20120509	CEMEX	293,86	C			20130715		
ACH	ACHATS	ACH-52	20120509	445660	TVA DEDUCTIBLE			120514	20120509	CEMEX	48,16	D			20130715		
ACH	ACHATS	ACH-52	20120509	615500	ENTRETIEN CHANTIER			120514	20120509	CEMEX	245,7	D			20130715		
ACH	ACHATS	ACH-53	20120509	401000	COLLECTIF FOURNISSEURS	X401CEMEX	401CEMEX     CEMEX	120515	20120509	CEMEX	296,25	C			20130715		
ACH	ACHATS	ACH-53	20120509	445660	TVA DEDUCTIBLE			120515	20120509	CEMEX	48,55	D			20130715		
ACH	ACHATS	ACH-53	20120509	615500	ENTRETIEN CHANTIER			120515	20120509	CEMEX	247,7	D			20130715		
ACH	ACHATS	ACH-54	20120509	401000	COLLECTIF FOURNISSEURS	X401CEMEX	401CEMEX     CEMEX	120516	20120509	CEMEX	332,83	C			20130715		
ACH	ACHATS	ACH-54	20120509	445660	TVA DEDUCTIBLE			120516	20120509	CEMEX	54,54	D			20130715		
ACH	ACHATS	ACH-54	20120509	615500	ENTRETIEN CHANTIER			120516	20120509	CEMEX	278,29	D			20130715		
ACH	ACHATS	ACH-55	20120509	401000	COLLECTIF FOURNISSEURS	X401CEMEX	401CEMEX     CEMEX	120517	20120509	CEMEX	320,23	C			20130715		
ACH	ACHATS	ACH-55	20120509	445660	TVA DEDUCTIBLE			120517	20120509	CEMEX	52,48	D			20130715		
ACH	ACHATS	ACH-55	20120509	615500	ENTRETIEN CHANTIER			120517	20120509	CEMEX	267,75	D			20130715		
ACH	ACHATS	ACH-56	20120511	401000	COLLECTIF FOURNISSEURS	X401COMPAGN	401COMPAGN   COMPAGNIE FERMIERE	120505	20120511	COMPAGNIE FERMIERE	39,1	C			20130715		
ACH	ACHATS	ACH-56	20120511	445660	TVA DEDUCTIBLE			120505	20120511	COMPAGNIE FERMIERE	2,04	D			20130715		
ACH	ACHATS	ACH-56	20120511	606110	E A U			120505	20120511	COMPAGNIE FERMIERE	37,06	D			20130715		
ACH	ACHATS	ACH-57	20120511	401000	COLLECTIF FOURNISSEURS	X401DIVERS	401DIVERS    DIVERS	120520	20120511	RESTO LA GRANGE	1,72	C			20130715		
ACH	ACHATS	ACH-57	20120511	445660	TVA DEDUCTIBLE			120520	20120511	RESTO LA GRANGE	0,11	D			20130715		
ACH	ACHATS	ACH-57	20120511	625600	RECEPTION			120520	20120511	RESTO LA GRANGE	1,61	D			20130715		
ACH	ACHATS	ACH-58	20120511	401000	COLLECTIF FOURNISSEURS	X401DIVERS	401DIVERS    DIVERS	120521	20120511	RESTO LA GRANGE	8,78	C			20130715		
ACH	ACHATS	ACH-58	20120511	445660	TVA DEDUCTIBLE			120521	20120511	RESTO LA GRANGE	0,57	D			20130715		
ACH	ACHATS	ACH-58	20120511	625600	RECEPTION			120521	20120511	RESTO LA GRANGE	8,21	D			20130715		
ACH	ACHATS	ACH-59	20120511	401000	COLLECTIF FOURNISSEURS	X401DIVERS	401DIVERS    DIVERS	120522	20120511	RESTO LA GRANGE	3,24	C			20130715		
ACH	ACHATS	ACH-59	20120511	445660	TVA DEDUCTIBLE			120522	20120511	RESTO LA GRANGE	0,53	D			20130715		
ACH	ACHATS	ACH-59	20120511	625600	RECEPTION			120522	20120511	RESTO LA GRANGE	2,71	D			20130715		
ACH	ACHATS	ACH-60	20120511	401000	COLLECTIF FOURNISSEURS	X401ONF	401ONF       ONF BG	120535	20120511	ONF BG	17754,56	C			20130715		
ACH	ACHATS	ACH-60	20120511	445660	TVA DEDUCTIBLE			120535	20120511	ONF BG	1161,51	D			20130715		
ACH	ACHATS	ACH-60	20120511	601000	ACH.MATIERES PREMIERES			120535	20120511	ONF BG	16593,05	D			20130715		
ACH	ACHATS	ACH-61	20120514	401000	COLLECTIF FOURNISSEURS	X401CHARLES	401CHARLES   SARL CHARLES	120501	20120514	SARL CHARLES	7318,8	C			20130715		
ACH	ACHATS	ACH-61	20120514	445660	TVA DEDUCTIBLE			120501	20120514	SARL CHARLES	478,8	D			20130715		
ACH	ACHATS	ACH-61	20120514	601000	ACH.MATIERES PREMIERES			120501	20120514	SARL CHARLES	6840	D			20130715		
ACH	ACHATS	ACH-62	20120514	401000	COLLECTIF FOURNISSEURS	X401BRICOMARCH	401BRICOMARCHBRICOMARCHE	120511	20120514	BRICOMARCHE	24,45	C			20130715		
ACH	ACHATS	ACH-62	20120514	445660	TVA DEDUCTIBLE			120511	20120514	BRICOMARCHE	4,01	D			20130715		
ACH	ACHATS	ACH-62	20120514	615000	REPARATIONS MATERIEL			120511	20120514	BRICOMARCHE	20,44	D			20130715		
ACH	ACHATS	ACH-63	20120515	401000	COLLECTIF FOURNISSEURS	X401TELECOM	401TELECOM   TELECOM	120510	20120515	TELECOM	112,36	C			20130715		
ACH	ACHATS	ACH-63	20120515	445660	TVA DEDUCTIBLE			120510	20120515	TELECOM	18,41	D			20130715		
ACH	ACHATS	ACH-63	20120515	626200	TELEPHONE			120510	20120515	TELECOM	93,95	D			20130715		
ACH	ACHATS	ACH-64	20120515	401000	COLLECTIF FOURNISSEURS	X401ESPACEDIF	401ESPACEDIF ESPACE DIFFUSION	120530	20120515	ESPACE DIFFUSION	586	C			20130715		
ACH	ACHATS	ACH-64	20120515	445660	TVA DEDUCTIBLE			120530	20120515	ESPACE DIFFUSION	96,03	D			20130715		
ACH	ACHATS	ACH-64	20120515	615000	REPARATIONS MATERIEL			120530	20120515	ESPACE DIFFUSION	489,97	D			20130715		
ACH	ACHATS	ACH-65	20120519	401000	COLLECTIF FOURNISSEURS	X401BRICO	401BRICO     BRICO DEPOT	120508	20120519	BRICO DEPOT	335,7	C			20130715		
ACH	ACHATS	ACH-65	20120519	445660	TVA DEDUCTIBLE			120508	20120519	BRICO DEPOT	55,01	D			20130715		
